id	query	sql	type
1	Buscar todos os registros de uma tabela.	SELECT * FROM tabela;	simples
2	Buscar colunas específicas com condição.	SELECT coluna1, coluna2 FROM tabela WHERE coluna3 > 30;	simples
3	Ordenar registros por uma métrica.	SELECT coluna1, coluna2 FROM tabela ORDER BY coluna3 DESC;	simples
4	Contar o número total de registros.	SELECT COUNT(*) FROM tabela;	estatisticas
5	Calcular a soma de uma métrica.	SELECT SUM(coluna) FROM tabela;	estatisticas
6	Calcular a média de uma métrica.	SELECT AVG(coluna) FROM tabela;	estatisticas
7	Encontrar o valor mínimo e máximo de uma métrica.	SELECT MIN(coluna), MAX(coluna) FROM tabela;	estatisticas
8	Calcular a média de uma métrica por categoria.	SELECT categoria, AVG(coluna) FROM tabela GROUP BY categoria;	agrupamentos
9	Listar categorias com média acima de um limite.	SELECT categoria, AVG(coluna) FROM tabela GROUP BY categoria HAVING AVG(coluna) > 5000;	agrupamentos
10	Relacionar duas tabelas com INNER JOIN.	SELECT t1.coluna1, t2.coluna2 FROM tabela1 t1 INNER JOIN tabela2 t2 ON t1.id = t2.tabela1_id;	juncoes
11	Listar registros de uma tabela com possíveis correspondências em outra (LEFT JOIN).	SELECT t1.coluna1, t2.coluna2 FROM tabela1 t1 LEFT JOIN tabela2 t2 ON t1.id = t2.tabela1_id;	juncoes
12	Listar registros de uma tabela garantindo a presença de outra (RIGHT JOIN).	SELECT t1.coluna1, t2.coluna2 FROM tabela1 t1 RIGHT JOIN tabela2 t2 ON t1.id = t2.tabela1_id;	juncoes
13	Unir registros de duas tabelas com FULL OUTER JOIN.	SELECT t1.coluna1, t2.coluna2 FROM tabela1 t1 FULL OUTER JOIN tabela2 t2 ON t1.id = t2.tabela1_id;	juncoes
14	Buscar registros com base em uma subconsulta.	SELECT coluna1 FROM tabela WHERE id IN (SELECT tabela_id FROM outra_tabela WHERE condicao > 1000);	subconsultas
15	Contar registros relacionados para cada item de outra tabela.	SELECT coluna1, (SELECT COUNT(*) FROM outra_tabela WHERE outra_tabela.tabela_id = tabela.id) AS total FROM tabela;	subconsultas
16	Calcular estatísticas com subquery.	SELECT AVG(coluna) AS media FROM (SELECT coluna FROM tabela) AS subquery;	subconsultas
17	Unir duas listas de registros sem duplicatas.	SELECT coluna1 FROM tabela1 UNION SELECT coluna1 FROM tabela2;	uniao
18	Unir duas listas de registros, mantendo duplicatas.	SELECT coluna1 FROM tabela1 UNION ALL SELECT coluna1 FROM tabela2;	uniao
19	Categorizar valores em grupos.	SELECT coluna1, CASE WHEN coluna2 < 18 THEN 'Grupo 1' WHEN coluna2 BETWEEN 18 AND 65 THEN 'Grupo 2' ELSE 'Grupo 3' END AS categoria FROM tabela;	logica_condicional
20	Atribuir ranking a registros com base em uma métrica.	SELECT coluna1, coluna2, ROW_NUMBER() OVER (ORDER BY coluna3 DESC) AS rank FROM tabela;	funcoes_janela
21	Ranking considerando empates.	SELECT coluna1, coluna2, RANK() OVER (ORDER BY coluna3 DESC) AS rank FROM tabela;	funcoes_janela
22	Ranking sem lacunas entre valores repetidos.	SELECT coluna1, coluna2, DENSE_RANK() OVER (ORDER BY coluna3 DESC) AS rank FROM tabela;	funcoes_janela
23	Filtrar registros usando Common Table Expression (CTE).	WITH filtro AS (SELECT * FROM tabela WHERE condicao = 'X') SELECT * FROM filtro;	cte
24	Criar hierarquia de registros com CTE recursiva.	WITH RECURSIVE hierarquia AS (SELECT id, nome, parent_id FROM tabela WHERE parent_id IS NULL UNION ALL SELECT t.id, t.nome, t.parent_id FROM tabela t INNER JOIN hierarquia h ON t.parent_id = h.id) SELECT * FROM hierarquia;	cte_recursiva
25	Transformar valores de categoria em colunas.	SELECT * FROM (SELECT categoria, valor FROM tabela) AS src PIVOT (AVG(valor) FOR categoria IN ('A', 'B', 'C')) AS pvt;	pivot
26	Extrair informações de um campo JSON.	SELECT coluna1, json_coluna->>'chave' AS valor_extraido FROM tabela;	json
27	Buscar registros com correspondência em texto completo.	SELECT * FROM tabela WHERE to_tsvector(coluna1 || ' ' || coluna2) @@ to_tsquery('termo_busca');	full_text_search
28	Implementar paginação de resultados.	SELECT * FROM tabela LIMIT 10 OFFSET 20;	paginacao
29	Obter valores únicos de uma coluna.	SELECT DISTINCT coluna FROM tabela;	distinct
30	Filtrar registros com correspondência parcial de texto.	SELECT * FROM tabela WHERE coluna LIKE 'Texto%';	filtro_texto
31	Filtrar registros com base na existência de um relacionamento.	SELECT coluna1 FROM tabela WHERE EXISTS (SELECT 1 FROM outra_tabela WHERE outra_tabela.tabela_id = tabela.id);	exists
32	Relacionar registros da mesma tabela (self join).	SELECT t1.coluna1, t2.coluna1 FROM tabela t1 JOIN tabela t2 ON t1.parent_id = t2.id;	self_join
33	Calcular a correlação entre duas variáveis.	SELECT corr(coluna_x, coluna_y) AS correlacao FROM tabela;	estatisticas
34	Criar matriz de correlação entre múltiplas variáveis.	SELECT corr(coluna1, coluna2) AS c1_c2, corr(coluna1, coluna3) AS c1_c3, corr(coluna2, coluna3) AS c2_c3 FROM tabela;	estatisticas
35	Calcular estatísticas para boxplot.	SELECT percentile_cont(0.25) WITHIN GROUP (ORDER BY coluna) AS q1, percentile_cont(0.5) WITHIN GROUP (ORDER BY coluna) AS q2, percentile_cont(0.75) WITHIN GROUP (ORDER BY coluna) AS q3 FROM tabela;	estatisticas
36	Obter média e desvio padrão de uma métrica.	SELECT AVG(coluna) AS media, STDDEV(coluna) AS desvio_padrao FROM tabela;	estatisticas
37	Distribuir valores em faixas de frequência.	SELECT coluna, COUNT(*) AS frequencia FROM tabela GROUP BY coluna ORDER BY frequencia DESC;	estatisticas
38	Obter valores mínimo e máximo de uma métrica.	SELECT MIN(coluna) AS minimo, MAX(coluna) AS maximo FROM tabela;	estatisticas
39	Calcular soma cumulativa.	SELECT coluna, SUM(coluna) OVER (ORDER BY id) AS soma_cumulativa FROM tabela;	estatisticas
40	Detectar outliers com base em média e desvio padrão.	SELECT coluna, AVG(coluna) AS media, STDDEV(coluna) AS desvio_padrao, (AVG(coluna) + 3 * STDDEV(coluna)) AS limite_superior, (AVG(coluna) - 3 * STDDEV(coluna)) AS limite_inferior FROM tabela;	estatisticas
41	Agrupar valores em faixas numéricas.	SELECT width_bucket(coluna, (SELECT MIN(coluna) FROM tabela), (SELECT MAX(coluna) FROM tabela), 5) AS faixa, COUNT(*) FROM tabela GROUP BY faixa ORDER BY faixa;	estatisticas
42	Calcular coeficiente de variação.	SELECT STDDEV(coluna) / AVG(coluna) AS coef_var FROM tabela;	estatisticas
43	Obter dados para um diagrama de dispersão.	SELECT coluna_x, coluna_y FROM tabela;	estatisticas
44	Obter dados para um diagrama de dispersão categorizado.	SELECT coluna_x, coluna_y, categoria FROM tabela;	estatisticas
